Title,Number of List Appearances - Book,Genre
PIKE'S PEAK OR BUST,3,Non-fiction
PILGRIM'S INN,23,Fiction
PILGRIM'S WAY,12,Non-fiction
PILLAR OF FIRE,3,Non-fiction
PILLARS OF THE EARTH,6,Fiction
PINEAPPLE GRENADE,1,Fiction
PINEAPPLE STREET,7,Fiction
PINHEADS AND PATRIOTS,15,Non-fiction
PIONEER GIRL,7,Non-fiction
"PIONEER, GO HOME!",6,Fiction
PIRANESI,1,Fiction
PIRANHA,3,Fiction
PIRATE,4,Fiction
PIRATE HUNTERS,1,Non-fiction
PIRATE KING,1,Fiction
PIRATE LATITUDES,7,Fiction
PISTOL,3,Non-fiction
PITCAIRN'S ISLAND,2,Fiction
PITY THE BILLIONAIRE,1,Non-fiction
PLAGUE OF CORRUPTION,5,Non-fiction
PLAGUE SHIP,4,Fiction
PLAIN JANE,3,Fiction
PLAIN SPEAKING,37,Non-fiction
PLAINSONG,5,Fiction
PLAN B,6,Non-fiction
PLAN OF ATTACK,13,Non-fiction
PLANET EARTH,1,Non-fiction
PLANET OF TWILIGHT,4,Fiction
PLANTATION PARADE,3,Non-fiction
PLATO AND A PLATYPUS WALK INTO A BAR,5,Non-fiction
PLAUSIBLE DENIAL,13,Non-fiction
PLAY DIRTY,5,Fiction
PLAY IT AS IT LAYS,1,Fiction
PLAY LIKE YOU MEAN IT,1,Non-fiction
PLAY NICE,1,Non-fiction
PLAYERS FIRST,2,Non-fiction
PLAYGROUND,1,Fiction
PLAYING FOR KEEPS,6,Non-fiction
PLAYING FOR PIZZA,17,Fiction
PLAYING FOR THE ASHES,4,Fiction
PLAYING IN THE DARK,6,Non-fiction
PLAYING TO THE EDGE,5,Non-fiction
PLAYING WITH FIRE,1,Non-fiction
PLAYING WITH MYSELF,2,Non-fiction
PLAYMATES,8,Fiction
PLEADING GUILTY,16,Fiction
PLEASANT VALLEY,33,Non-fiction
PLEASE DON'T EAT THE DAISIES,50,Non-fiction
PLEASE LOOK AFTER MOM,1,Fiction
PLEDGED,1,Non-fiction
PLUM ISLAND,20,Fiction
PLUM LOVIN',1,Fiction
PLUM LOVIN’,9,Fiction
PLUM LUCKY,8,Fiction
PLUM SPOOKY,7,Fiction
PLUNDER AND DECEIT,8,Non-fiction
PLUTOCRATS,2,Non-fiction
POINT BLANK,5,Fiction
POINT OF NO RETURN,34,Fiction
POINT OF ORIGIN,11,Fiction
POINTS OF MY COMPASS,6,Non-fiction
POINTS OF REBELLION,7,Non-fiction
POLAND,38,Fiction
POLAR SHIFT,5,Fiction
POLAR STAR,15,Fiction
POLGARA THE SORCERESS,3,Fiction
POLICE,2,Fiction
POLICY FOR THE WEST,5,Non-fiction
POLISH PROFILE,3,Non-fiction
POLITICAL GUIDE,2,Non-fiction
POLITICALLY CORRECT BEDTIME STORIES,65,Fiction
POLITICALLY CORRECT HOLIDAY STORIES,13,Fiction
POLITICS IN AMERICA,3,Non-fiction
POMP AND CIRCUMSTANCE,28,Fiction
POMPEII,8,Fiction
PONTOON,4,Fiction
POODLE SPRINGS,4,Fiction
POOR LITTLE BITCH GIRL,4,Fiction
POOR NO MORE,26,Fiction
POOR SPLENDID WINGS,1,Non-fiction
POP GOES THE WEASEL,12,Fiction
POPE JOHN PAUL II: A Tribute,2,Non-fiction
PORCH LIGHTS,4,Fiction
PORT MORTUARY,6,Fiction
PORTNOY'S COMPLAINT,40,Fiction
PORTRAIT IN BROWNSTONE,14,Fiction
PORTRAIT IN SEPIA,1,Fiction
PORTRAIT OF A KILLER,16,Non-fiction
PORTRAIT OF A MARRIAGE,21,Non-fiction
PORTRAIT OF A SPY,6,Fiction
PORTRAIT OF A THIEF,1,Fiction
PORTRAIT OF AN UNKNOWN WOMAN,6,Fiction
PORTRAIT OF JENNIE,9,Fiction
PORTRAIT OF MAX,1,Non-fiction
PORTRAIT OF MYSELF,3,Non-fiction
PORTRAITS,27,Fiction
PORTRAITS OF COURAGE,5,Non-fiction
POSEIDON'S ARROW,3,Fiction
POSITIVELY FALSE,1,Non-fiction
POSITIVELY FIFTH STREET,6,Non-fiction
POSSESSING THE SECRET OF JOY,15,Fiction
POSSESSION,19,Fiction
POSSESSIONS,9,Fiction
POSSIBLE SIDE EFFECTS,4,Non-fiction
POSTCARDS FROM DELAPLANE,8,Non-fiction
POSTCARDS FROM THE EDGE,2,Fiction
POSTERN OF FATE,13,Fiction
POSTMARKED MOSCOW,14,Non-fiction
POT OF GOLD,5,Fiction
POTSHOT,5,Fiction
"POVERTY, BY AMERICA",17,Non-fiction
"POVERTY, BY AMERICA. by Matthew Desmond. (Crown. ) The Pulitzer Prize-",1,Non-fiction
POWER AND DIPLOMACY,6,Non-fiction
POWER AND POLICY,1,Non-fiction
POWER GAME,1,Fiction
POWER GOLF,5,Non-fiction
POWER OF A WOMAN,7,Fiction
POWER PLAY,9,Fiction
POWER TO THE PEOPLE,5,Non-fiction
POWER!,20,Non-fiction
"POWER, FAITH, AND FANTASY",8,Non-fiction
POWERHOUSE,1,Non-fiction
POWERPLAY,10,Non-fiction
POWERS OF ATTORNEY,3,Fiction
POWERSHIFT,17,Non-fiction
PRACTICE TO DECEIVE,1,Non-fiction
PRAGUE WINTER,4,Non-fiction
PRAIRIE AVENUE,12,Fiction
PRAIRIE TALE,4,Non-fiction
PRAIRYERTH,12,Non-fiction
PRAY FOR A BRAVE HEART,12,Fiction
PRAYERS FOR SALE,1,Fiction
PRAYING FOR GIL HODGES,1,Non-fiction
PRECIOUS AND GRACE,1,Fiction
PRECIOUS GIFTS,2,Fiction
PREDATOR,12,Fiction
PREDICTABLY IRRATIONAL,7,Non-fiction
PRELUDE TO FOUNDATION,9,Fiction
PRELUDE TO TERROR,11,Fiction
PREP,9,Fiction
PREPARING FOR THE TWENTY-FIRST CENTURY,11,Non-fiction
PREQUEL,17,Non-fiction
PRESENT AT THE CREATION,18,Non-fiction
PRESENT INDICATIVE,30,Non-fiction
PRESERVE AND PROTECT,28,Fiction
PRESIDENT ME,1,Non-fiction
PRESIDENTIAL AGENT,6,Fiction
PRESIDENTIAL COURAGE,9,Non-fiction
PRESIDENTIAL MISSION,10,Fiction
PRESIDENTIAL POWER,3,Non-fiction
PRESIDENTS OF WAR,6,Non-fiction
PRESIDENTS WHO HAVE KNOWN ME,8,Non-fiction
"PRESS ON! by Chuck Yeager and Charles Leerhsen. ( Bantam, $17.95.) The",3,Non-fiction
"PRESS ON! by Chuck Yeager and Charles Leerhsen. (Bantam, $17.95.) The",7,Non-fiction
PRESSURE COOKERY,7,Non-fiction
PRESSURE COOKING,1,Non-fiction
PRESUMED GUILTY,1,Non-fiction
PRESUMED INNOCENT,44,Fiction
PRETEND YOU DON'T SEE HER,14,Fiction
PRETTY BOYS ARE POISONOUS,2,Fiction
PRETTY GIRLS,1,Fiction
PRETTY IN PLAID,2,Non-fiction
PRETTY MESS,1,Non-fiction
PRETTY WOMAN,1,Fiction
PREY,16,Fiction
PRICELESS MEMORIES,2,Non-fiction
PRIDE'S CASTLE,22,Fiction
PRIMARY COLORS,25,Fiction
PRIMATES OF PARK AVENUE,6,Non-fiction
PRIME DIRECTIVE,5,Fiction
PRIME GREEN,1,Non-fiction
PRIME TIME,19,Non-fiction
PRIME WITNESS,1,Fiction
PRINCE BART,13,Fiction
PRINCE CHARLES,2,Non-fiction
PRINCE CHARMING,4,Fiction
PRINCE LESTAT,9,Fiction
PRINCE LESTAT AND THE REALMS OF ATLANTIS,2,Fiction
PRINCE OF EGYPT,5,Fiction
PRINCE OF FIRE,4,Fiction
PRINCE OF FOXES,26,Fiction
PRINCE OF PLAYERS,10,Non-fiction
PRINCE OF THE BLOOD,1,Fiction
PRINCE: A PRIVATE VIEW,1,Non-fiction
PRINCEPS’ FURY,1,Fiction
PRINCESS,15,Non-fiction
PRINCESS DAISY,36,Fiction
PRINCESS IN LOVE,1,Non-fiction
PRIOR BAD ACTS,5,Fiction
PRISONER OF GRACE,6,Fiction
PRISONER OF THE STATE,1,Non-fiction
"PRISONER WITHOUT A NAME, CELL WITHOUT A NUMBER",2,Non-fiction
"PRISONER WITHOUT A NAME, CELL WITHOUT A NUMBER, b y Jacobo",2,Non-fiction
PRISONERS OF THE CASTLE,1,Non-fiction
PRIVATE,8,Fiction
PRIVATE AFFAIRS,8,Fiction
PRIVATE BERLIN,6,Fiction
PRIVATE ENTERPRISE,3,Fiction
PRIVATE EYES,8,Fiction
PRIVATE GAMES,7,Fiction
PRIVATE L. A.,1,Fiction
PRIVATE L.A.,4,Fiction
PRIVATE PARIS,5,Fiction
PRIVATE PARTS,20,Non-fiction
PRIVATE VEGAS,6,Fiction
PRIVATE WORLDS,3,Fiction
PRIVATE: #1 SUSPECT,8,Fiction
PROBE,6,Fiction
PRODIGAL SON,4,Fiction
PRODIGAL SUMMER,22,Fiction
PROFILES IN CORRUPTION,7,Non-fiction
PROFILES IN COURAGE,139,Non-fiction
"PROFILES IN COURAGE FOR OUR TIME, edited by Caro line Kennedy.",7,Non-fiction
"PROFILES IN COURAGE FOR OUR TIME, edited by Carol ine Kennedy.",1,Non-fiction
PROFILES IN IGNORANCE,2,Non-fiction
PROJECT 562,1,Non-fiction
PROJECT HAIL MARY,17,Fiction
PROMENADE,2,Fiction
PROMETHEUS: THE LIFE OF BALZAC,1,Non-fiction
PROMISE AT DAWN,7,Non-fiction
PROMISE ME,8,Fiction
"PROMISE ME, DAD",11,Non-fiction
PROMISE OF THE WITCH-KING,1,Fiction
PROMISES,1,Fiction
PROMISES IN DEATH,5,Fiction
PROMISES TO KEEP,1,Non-fiction
PROOF,12,Fiction
PROOF OF CONSPIRACY,1,Non-fiction
PROOF OF GUILT,1,Fiction
PROOF OF HEAVEN,1,Non-fiction
PROOF OF LIFE,1,Fiction
PROOF POSITIVE,1,Fiction
PROPERTY OF A NOBLEWOMAN,3,Fiction
PROTECT AND DEFEND,14,Fiction
PROTEUS,9,Fiction
PROUD DESTINY,18,Fiction
PROUD KATE,1,Non-fiction
PROUD NEW FLAGS,22,Fiction
PROVENANCE,2,Fiction
PRUSSIAN BLUE,1,Fiction
PT 109,9,Non-fiction
"PUBLIC SMILES, PRIVATE TEARS",14,Fiction
PUERTO VALLARTA SQUEEZE,1,Fiction
PULLING YOUR OWN STRINGS,19,Non-fiction
PUNISHED FOR DREAMING,1,Non-fiction
PUPPET ON A CHAIN,17,Fiction
PURE AND SIMPLE,3,Non-fiction
PURE DRIVEL,8,Non-fiction
PURELY ACADEMIC,4,Fiction
PURITY,5,Fiction
PURPLE CANE ROAD,6,Fiction
PURSUIT,2,Fiction
PURSUIT OF HONOR,10,Fiction
PUTTING IT TOGETHER,1,Non-fiction
PUZZLE PALACE,2,Non-fiction
PYGMY,4,Fiction
PYLON,3,Fiction
Q,3,Non-fiction
Q CLEARANCE,2,Fiction
Q IS FOR QUARRY,6,Fiction
Q-SQUARED,5,Fiction
QB VII,39,Fiction
QUANTA AND FIELDS,1,Non-fiction
QUANTUM SUPREMACY,2,Non-fiction
QUEEN ANNE BOLEYN,2,Fiction
QUEEN BEE,4,Fiction
QUEEN CHARLOTTE,2,Fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. ( Alfred A. Knopf.) 14 9",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. ( Alfred A. Knopf.) 15 8",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. ( Alfred A. Knopf.) 9 7",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) -- 1",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) 6 3",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) 8 2",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) 8 4",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) 8 6",1,Non-fiction
"QUEEN MARY, 1867-1953. By James Pope-Hennessy. (A lfred A. Knopf.) 9 5",1,Non-fiction
QUEEN NEW ORLEANS,2,Non-fiction
QUEEN OF FRANCE,3,Non-fiction
QUEEN OF THE NIGHT,1,Fiction
QUEEN VICTORIA,4,Non-fiction
QUEEN VICTORIA'S DAUGHTERS,2,Non-fiction
QUEEN VICTORIA: BORN TO SUCCEED,31,Non-fiction
QUEEN'S GIFT,15,Fiction
QUEENIE,10,Fiction
QUEENS DIE PROUDLY,2,Non-fiction
QUENTINS,6,Fiction
QUEST FOR THE BEST,4,Non-fiction
QUICHOTTE,1,Fiction
QUICK & DIRTY,1,Fiction
QUICKSAND,2,Fiction
QUICKSILVER,5,Fiction
QUIET,16,Non-fiction
QUIET STRENGTH,32,Non-fiction
QUIETLY MY CAPTAIN WAITS,6,Fiction
QUINN,1,Fiction
QUINN'S BOOK,2,Fiction
QUITE A YEAR FOR PLUMS,3,Fiction
QUIVERS,4,Non-fiction
QUOTATIONS FROM CHAIRMAN MAO TSE-TUNG,2,Non-fiction
R F D,1,Non-fiction
R. E. LEE,2,Non-fiction
R.S.V.P. ELSA MAXWELL'S OWN STORY,15,Non-fiction
RABBIT AT REST,7,Fiction
RABBIT IS RICH,23,Fiction
RABBIT REDUX,4,Fiction
"RABBIT, RUN",10,Fiction
RACE,2,Non-fiction
RACE MATTERS,10,Non-fiction
RACHEL CADE,7,Fiction
"RACHEL, THE RABBI'S WIFE",13,Fiction
RACING THE LIGHT,1,Fiction
RADIANT ANGEL,6,Fiction
"RADICALS, RESISTANCE AND REVENGE",4,Non-fiction
RADIO'S GREATEST OF ALL TIME,7,Non-fiction
RADIO’S GREATEST OF ALL TIME by Rush Limbaugh wit h Kathryn Adams,1,Non-fiction
RAFA,3,Non-fiction
RAGE,13,Non-fiction
RAGE OF A DEMON KING,1,Fiction
RAGE OF ANGELS,42,Fiction
RAGING HEART,7,Non-fiction
RAGING HEAT,1,Fiction
RAGTIME,39,Fiction
RAIN GODS,3,Fiction
RAIN IN THE DOORWAY,2,Fiction
RAIN ON THE DEAD,1,Fiction
RAIN ON THE WIND,1,Fiction
RAINBOW IN TAHITI,3,Non-fiction
RAINBOW IN THE MIST,1,Fiction
RAINBOW IN THE ROYALS,1,Fiction
RAINBOW ON THE ROAD,11,Fiction
RAINBOW SIX,25,Fiction
RAINSONG,3,Fiction
RAINTREE COUNTY,29,Fiction
"RAISE HIGH THE ROOF BEAM, CARPENTERS",28,Fiction
RAISE THE TITANIC!,22,Fiction
RAISING CAIN,2,Non-fiction
RAISING STEAM,2,Fiction
RALLY ROUND THE FLAG BOYS!,51,Fiction
RAMA REVEALED,6,Fiction
RANDOM FAMILY,1,Non-fiction
RANDOM HARVEST,29,Fiction
RANDOM IN DEATH,2,Fiction
RANDOM WINDS,28,Fiction
RANGE,11,Non-fiction
RANSOM,10,Fiction
RANT,5,Fiction
RANTING AGAIN,1,Non-fiction
RAPTURE,1,Fiction
RARE AIR,4,Non-fiction
RASCAL,29,Non-fiction
RASCALS IN PARADISE,17,Non-fiction
RASPBERRY DANISH MURDER,1,Fiction
RATHER BE THE DEVIL,1,Fiction
RATIONALITY,1,Non-fiction
"RATS, LICE AND HISTORY",4,Non-fiction
RAVELSTEIN,1,Fiction
RAW DOG,1,Non-fiction
RAW RECRUITS,2,Non-fiction
RAWHIDE DOWN,2,Non-fiction
RAYLAN,5,Fiction
RAZOR GIRL,6,Fiction
RAZORBLADE TEARS,1,Fiction
RAZZMATAZZ,1,Fiction
RE-INVENTING THE CORPORATION,10,Non-fiction
REACH FOR THE SKY,7,Non-fiction
REACHING FOR THE STARS,25,Non-fiction
REACHING TO HEAVEN,9,Non-fiction
READ MY PINS,1,Non-fiction
READ WRITE OWN,2,Non-fiction
READING FOR PLEASURE,3,Non-fiction
READING GENESIS,1,Non-fiction
READING I'VE LIKED,14,Non-fiction
READING JUDAS,1,Non-fiction
READING LIKE A WRITER,2,Non-fiction
READING THE CONSTITUTION,2,Non-fiction
READY PLAYER TWO,12,Fiction
REAGAN,1,Non-fiction
REAGAN'S AMERICA,3,Non-fiction
REAGAN'S AMERICA: Innocents at Home,5,Non-fiction
"REAGAN, IN HIS OWN HAND, edited by Kiron K. Skin ner, Annelise Anderson",1,Non-fiction
"REAGAN, IN HIS OWN HAND, edited by Kiron K. Skinn er, Annelise Anderson",1,Non-fiction
"REAGAN: A Life in Letters, edited by Kiron K. Sk inner, Annelise Anderson and",2,Non-fiction
"REAGAN: A Life in Letters, edited by Kiron K. Ski nner, Annelise Anderson and",1,Non-fiction
REAL AMERICANS,1,Fiction
REAL BOYS,1,Non-fiction
REAL CHANGE,11,Non-fiction
REAL LACE,7,Non-fiction
"REAL PONIES DON'T GO OINK! by Patrick F. McManus . (Holt, $16.95.) A",3,Non-fiction
"REAL PONIES DON'T GO OINK! by Patrick F. McManus.  (Holt, $16.95.) A",3,Non-fiction
REALITIES OF AMERICAN FOREIGN POLICY,2,Non-fiction
REALITY IN ADVERTISING,9,Non-fiction
REAMDE,2,Fiction
REASON FOR HOPE,2,Non-fiction
REASONABLE DOUBTS,3,Non-fiction
REBA: My Story,15,Non-fiction
REBECCA,32,Fiction
REBEL GIRL,2,Non-fiction
REBEL RISING,1,Non-fiction
REBEL YELL,4,Non-fiction
REBUILD THE DREAM,2,Non-fiction
RECESSIONAL,3,Non-fiction
RECITATIF,1,Fiction
RECKLESS,2,Non-fiction
RECKLESS ABANDON,3,Fiction
RECKLESS ENDANGERMENT,10,Non-fiction
RECKLESS GIRLS,1,Fiction
RECKONING,1,Fiction
RECONCILIATION,4,Non-fiction
RECONCILIATIONS,1,Non-fiction
RECONSTRUCTING AMELIA,1,Fiction
RECOVERY,9,Non-fiction
RECURSION,1,Fiction
RED,6,Non-fiction
RED ALERT,3,Fiction
RED AND ME,1,Non-fiction
RED AT THE BONE,3,Fiction
RED DRAGON,9,Fiction
RED INK,2,Non-fiction
RED METAL,1,Fiction
RED MIST,5,Fiction
RED NOTICE,5,Non-fiction
RED PHOENIX,15,Fiction
RED PLATOON,4,Non-fiction
RED PLUSH,14,Fiction
RED RABBIT,17,Fiction
RED RIVER RUNS NORTH!,1,Non-fiction
RED SKY AT MORNING,15,Fiction
RED SKY MOURNING,2,Fiction
RED SQUARE,6,Fiction
RED STAR OVER CHINA,4,Non-fiction
RED STORM RISING,50,Fiction
RED VELVET CUPCAKE MURDER,1,Fiction
"RED, WHITE & ROYAL BLUE",1,Fiction
RED-HANDED,10,Non-fiction
REDEMPTION,14,Fiction
REDEMPTION ROAD,1,Fiction
REDEPLOYMENT,5,Fiction
REDHEAD BY THE SIDE OF THE ROAD,4,Fiction
REDISCOVERING AMERICAN VALUES,1,Non-fiction
REDISCOVERING AMERICANISM,8,Non-fiction
REDSHIRTS,1,Fiction
REEFER MADNESS,7,Non-fiction
REENGINEERING THE CORPORATION,32,Non-fiction
REFLECTIONS,7,Non-fiction
REFLECTIONS OF A PEACEMAKER,2,Fiction
REFLEX,15,Fiction
REGGIE,4,Non-fiction
REGRETS ONLY,9,Fiction
REIGN IN HELL,1,Fiction
REIGN OF ERROR,3,Non-fiction
REILLY OF THE WHITE HOUSE,2,Non-fiction
REINVENTING GOVERNMENT,7,Non-fiction
RELENTLESS,5,Fiction
RELENTLESS STRIKE,1,Non-fiction
RELIGIOUS LITERACY,3,Non-fiction
REMAINS OF INNOCENCE,1,Fiction
REMARKABLY BRIGHT CREATURES,56,Fiction
REMBRANDT,17,Fiction
REMEMBER,13,Fiction
REMEMBER ME,17,Fiction
REMEMBER ME TO GOD,28,Fiction
REMEMBER ME?,8,Fiction
REMEMBER THE HOUSE,9,Fiction
REMEMBER THESE THINGS,3,Non-fiction
REMEMBER WHEN,7,Fiction
REMEMBERING DENNY,6,Non-fiction
REMEMBERING WHITNEY,3,Non-fiction
REMEMBERINGS,1,Non-fiction
REMEMBRANCE,22,Fiction
REMEMBRANCE ROCK,21,Fiction
REMINISCENCES,32,Non-fiction
RENEGADE,9,Non-fiction
RENEGADES,10,Non-fiction
RENNY'S DAUGHTER,1,Fiction
"RENOIR, MY FATHER",11,Non-fiction
REPENT IN HASTE,3,Fiction
REPORT FROM ENGINE CO. 82,15,Non-fiction
REPORT FROM GROUND ZERO,6,Non-fiction
REPORT FROM IRON MOUNTAIN,7,Non-fiction
REPORT FROM TOKYO,7,Non-fiction
REPORT ON ENGLAND,1,Non-fiction
REPORT ON THE RUSSIANS,2,Non-fiction
REPORT TO THE COMMISSIONER,7,Fiction
REPRISAL,8,Fiction
REPUBLICAN GOMORRAH,1,Non-fiction
REQUIEM FOR A NUN,7,Fiction
RESCUING SPRITE,9,Non-fiction
RESILIENCE,6,Non-fiction
RESISTANCE,1,Non-fiction
RESISTANCE IS FUTILE!,1,Non-fiction
"RESISTANCE, REBELLION, AND DEATH",6,Non-fiction
REST AND BE THANKFUL,7,Fiction
RESTLESS ARE THE SAILS,1,Fiction
RESTORING THE AMERICAN DREAM,18,Non-fiction
RESURRECTING MIDNIGHT,1,Fiction
RESURRECTION,1,Fiction
RESURRECTION WALK,6,Fiction
RETREAT FROM GLORY,2,Non-fiction
"RETREAT, HELL! by W. E. B. Griffin. (Putnam, $26. 95.) The 10th novel in the",2,Fiction
"RETREAT, HELl! by W. E. B. Griffin. (Putnam, $26 .95.) The 10th novel in the",1,Fiction
"RETREAT, HELl! by W. E. B. Griffin. (Putnam, $26. 95.) The 10th novel in the",2,Fiction
RETRIBUTION,5,Non-fiction
"RETURN OF THE JEDI, adapted by Joan D. Vinge. (R andom House, $6.95.)",11,Fiction
"RETURN OF THE JEDI, adapted by Joan D. Vinge. (Ra ndom House, $6.95.)",20,Fiction
RETURN OF THE KING,1,Non-fiction
RETURN TO JALNA,3,Fiction
RETURN TO JAPAN,4,Non-fiction
RETURN TO PARADISE,26,Fiction
RETURN TO PEYTON PLACE,3,Fiction
RETURN TO SULLIVANS ISLAND,3,Fiction
RETURN TO THE FUTURE,1,Non-fiction
RETURN WITH HONOR,6,Non-fiction
"REUBEN, REUBEN",5,Fiction
REUNION,11,Fiction
REUNION BEACH,1,Fiction
REVEILLE FOR RADICALS,8,Non-fiction
REVEILLE IN WASHINGTON,10,Non-fiction
REVELATIONS,3,Non-fiction
REVENGE,1,Non-fiction
REVENGE OF THE MIDDLE-AGED WOMAN,1,Fiction
REVENGE OF THE SITH,10,Fiction
REVENGE OF THE TIPPING POINT,7,Non-fiction
REVENGE WEARS PRADA,4,Fiction
REVERSIBLE ERRORS,10,Fiction
REVIVAL,10,Fiction
REVOLUTION FROM WITHIN,34,Non-fiction
REVOLUTIONARY SUMMER,6,Non-fiction
REWRITING HISTORY,6,Non-fiction
RHETT BUTLER’S PEOPLE,8,Fiction
RHUBARB,13,Fiction
RHYTHM OF WAR,3,Fiction
"RICH MAN, POOR MAN",33,Fiction
RICH PEOPLE PROBLEMS,1,Fiction
RICHARD BURTON,6,Non-fiction
RICHARD NIXON,16,Non-fiction
"RICHARD SIMMONS' NEVER-SAY-DIET COOKBOOK. (Warne r, $15.95.) More",2,Non-fiction
"RICHARD SIMMONS' NEVER-SAY-DIET COOKBOOK. (Warner , $15.95.) More",14,Non-fiction
RICHARD THE THIRD,5,Non-fiction
RICHER BY ASIA,3,Non-fiction
RICKENBACKER,23,Non-fiction
RICKLES’ BOOK,5,Non-fiction
RICKSHAW BOY,12,Fiction
RICOCHET,6,Fiction
RIDE A PALE HORSE,5,Fiction
RIDE THE RED EARTH,8,Fiction
RIDERS ON THE STORM,8,Non-fiction
RIDES A DREAD REGION,1,Fiction
RIDING THE IRON ROOSTER,16,Non-fiction
RIGGED,1,Non-fiction
RIGHT BEHIND YOU,3,Fiction
RIGHTEOUS INDIGNATION,1,Non-fiction
RIGHTEOUS PREY,4,Fiction
RIGHTFUL HERITAGE,1,Non-fiction
RIGHTFULLY MINE,5,Fiction
RILEY IN THE MORNING,4,Fiction
RIN TIN TIN,5,Non-fiction
RING OF BRIGHT WATER,48,Non-fiction
RING OF FIRE,1,Fiction
RINGMASTER,1,Non-fiction
RIPPER,1,Fiction
RIPTIDE,7,Fiction
RISE,1,Non-fiction
RISE AND KILL FIRST,1,Non-fiction
RISE AND SHINE,7,Fiction
RISE OF THE VULCANS,2,Non-fiction
RISE TO REBELLION,6,Fiction
"RISE, LET US BE ON OUR WAY",1,Non-fiction
RISING STAR,1,Non-fiction
RISING SUN,21,Fiction
RISING TIGER,4,Fiction
RIVALS,11,Fiction
RIVER GOD,4,Fiction
RIVER MARKED,3,Fiction
RIVER OF THE GODS,7,Non-fiction
RIVER OF THE SUN,14,Fiction
RIVER OF YEARS,8,Non-fiction
RIVER ROAD,1,Fiction
RIVER SUPREME,3,Fiction
RIVER'S END,7,Fiction
RIVER-HORSE,3,Non-fiction
RIVERS GLIDE ON,1,Fiction
RIVERS OF GLORY,1,Fiction
RIVERS PARTING,6,Fiction
RIZPAH,1,Fiction
RN: THE MEMOIRS OF RICHARD NIXON,10,Non-fiction
ROAD DOGS,3,Fiction
ROAD OF AGES,1,Fiction
ROAD OF THE PATRIARCH,2,Fiction
ROAD TO SURVIVAL,13,Non-fiction
ROAD TO WAR,5,Non-fiction
ROADSIDE CROSSES,1,Fiction
ROANOKE HUNDRED,13,Fiction
ROBERT B. PARKER'S BLIND SPOT,1,Fiction
ROBERT B. PARKER'S CHEAP SHOT,1,Fiction
ROBERT B. PARKER'S COLORBLIND,1,Fiction
ROBERT B. PARKER'S DAMNED IF YOU DO,1,Fiction
ROBERT B. PARKER'S DEBT TO PAY,1,Fiction
ROBERT B. PARKER'S FOOL ME TWICE,2,Fiction
ROBERT B. PARKER'S KICKBACK,1,Fiction
ROBERT B. PARKER'S KILLING THE BLUES,2,Fiction
ROBERT B. PARKER'S LITTLE WHITE LIES,1,Fiction
ROBERT B. PARKER'S LULLABY,2,Fiction
ROBERT B. PARKER'S THE DEVIL WINS,1,Fiction
ROBERT B. PARKER'S WONDERLAND,1,Fiction
ROBERT B. PARKER‘S KILLING THE BLUES,1,Fiction
ROBERT B. PARKER’S DAMNED IF YOU DO,1,Fiction
ROBERT B. PARKER’S LULLABY,1,Fiction
ROBERT KENNEDY AND HIS TIMES,8,Non-fiction
"ROBERT KENNEDY: In His Own Words, edited by Edwi n O. Guthman and Jeffrey",3,Non-fiction
ROBERT LUDLUM'S THE JANSON COMMAND,1,Fiction
ROBICHEAUX,3,Fiction
ROBIN,2,Non-fiction
ROBOPOCALYPSE,1,Fiction
ROCK HUDSON: His Story,14,Non-fiction
ROCK ME ON THE WATER,1,Non-fiction
ROCK PAPER SCISSORS,1,Fiction
ROCK STAR,17,Fiction
"ROCK THIS! by Chris Rock. (Hyperion, $19.95.) Ob servations on life by the stand-",2,Non-fiction
ROCK WITH WINGS,1,Fiction
ROCKET MEN,2,Non-fiction
ROCKS,2,Non-fiction
ROCOCO,1,Fiction
ROCTOGENARIANS,1,Non-fiction
ROD,3,Non-fiction
RODHAM,1,Fiction
ROGER'S VERSION,15,Fiction
ROGUE,3,Fiction
ROGUE JUSTICE,1,Fiction
ROGUE LAWYER,20,Fiction
ROGUE ONE: A STAR WARS STORY,3,Fiction
ROGUE WARRIOR,15,Non-fiction
ROGUE WARRIOR II: Red Cell,7,Fiction
ROGUE WARRIOR: GREEN TEAM,4,Fiction
ROGUE WARRIOR: TASK FORCE BLUE,5,Fiction
ROGUES,1,Non-fiction
"ROGUES, edited by George R. R. Martin and Gardner  Dozois. (Bantam.) Twenty-one",1,Fiction
ROLE OF HONOR,8,Fiction
ROLL ME UP AND SMOKE ME WHEN I DIE,8,Non-fiction
ROLL RIVER,3,Fiction
"ROLLING STONE: The Photographs, edited by Laurie  Kratochvil. (Simon &",1,Non-fiction
